ANIO,MES,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,PRESTADOR,PROB_COMERCIAL,PROB_OPERACIONAL,PROB_OTROS,FECHA_CORTE;;;;;;;;;;;=
2021,202101,020106,Ancash,Huaraz,Jangas,EPS CHAVIN S.A.,1,0,0,20230808;;;;;;;;;;;
2021,202101,021205,Ancash,Huaylas,Mato,EPS CHAVIN S.A.,0,1,0,20230808;;;;;;;;;;;
2021,202101,170101,Madre de Dios,Tambopata,Tambopata,EPS EMAPAT S.A.,14,3,1,20230808;;;;;;;;;;;
2021,202101,110206,Ica,Chincha,Grocio Prado,EPS EMAPICA S.A.,0,1,0,20230808;;;;;;;;;;;
2021,202101,110101,Ica,Ica,Ica,EPS EMAPICA S.A.,36,7,11,20230808;;;;;;;;;;;
2021,202101,110106,Ica,Ica,Parcona,EPS EMAPICA S.A.,1,1,0,20230808;;;;;;;;;;;
2021,202101,110501,Ica,Pisco,Pisco,EPS EMAPICA S.A.,0,1,0,20230808;;;;;;;;;;;
2021,202101,080901,Cusco,La Convencion,Santa Ana,EPS EMAQ S.R.L.,0,0,1,20230808;;;;;;;;;;;
2021,202101,200401,Piura,Morropon,Chulucanas,EPS GRAU S.A.,5,6,0,20230808;;;;;;;;;;;
2021,202101,200504,Piura,Paita,Colan,EPS GRAU S.A.,0,2,0,20230808;;;;;;;;;;;
2021,202101,200505,Piura,Paita,La Huaca,EPS GRAU S.A.,1,0,0,20230808;;;;;;;;;;;
2021,202101,200501,Piura,Paita,Paita,EPS GRAU S.A.,9,12,1,20230808;;;;;;;;;;;
2021,202101,200506,Piura,Paita,Tamarindo,EPS GRAU S.A.,2,0,0,20230808;;;;;;;;;;;
2021,202101,200507,Piura,Paita,Vichayal,EPS GRAU S.A.,1,1,0,20230808;;;;;;;;;;;
2021,202101,200104,Piura,Piura,Castilla,EPS GRAU S.A.,44,17,4,20230808;;;;;;;;;;;
2021,202101,200105,Piura,Piura,Catacaos,EPS GRAU S.A.,1,3,0,20230808;;;;;;;;;;;
2021,202101,200110,Piura,Piura,La Union,EPS GRAU S.A.,0,0,2,20230808;;;;;;;;;;;
2021,202101,200101,Piura,Piura,Piura,EPS GRAU S.A.,140,63,39,20230808;;;;;;;;;;;
2021,202101,200115,Piura,Piura,Veintiseis de Octubre,EPS GRAU S.A.,52,36,5,20230808;;;;;;;;;;;
2021,202101,200602,Piura,Sullana,Bellavista,EPS GRAU S.A.,2,1,0,20230808;;;;;;;;;;;
2021,202101,200605,Piura,Sullana,Marcavelica,EPS GRAU S.A.,2,0,0,20230808;;;;;;;;;;;
