NUM;FECHA_CORTE;PERIODO;TIPO_LARGA_DISTANCIA;EMPRESA;CÓDIGO;TIPO_TRÁFICO;TRÁFICO;;;;;;;;
45;20240617;200301;Larga Distancia Internacional - Saliente;FULL LINE S.A.C.;A;Preselección;3,603.00;;;;;;;;
46;20240617;200301;Larga Distancia Internacional - Saliente;FULL LINE S.A.C.;C;Tarjetas de Pago;31,790.00;;;;;;;;
47;20240617;200301;Larga Distancia Internacional - Entrante;FULL LINE S.A.C.;H;No reportado;1,141,698.00;;;;;;;;
48;20240617;200301;Larga Distancia Nacional;GAMACOM S.A.C.;A;Preselección;69,149.00;;;;;;;;
49;20240617;200301;Larga Distancia Internacional - Saliente;GAMACOM S.A.C.;A;Preselección;31,499.00;;;;;;;;
50;20240617;200301;Larga Distancia Nacional;GAMACOM S.A.C.;C;Tarjetas de Pago;27,860.70;;;;;;;;
51;20240617;200301;Larga Distancia Internacional - Saliente;GAMACOM S.A.C.;C;Tarjetas de Pago;12,691.20;;;;;;;;
52;20240617;200301;Larga Distancia Internacional - Entrante;GAMACOM S.A.C.;H;No reportado;3,443,642.00;;;;;;;;
53;20240617;200301;Larga Distancia Nacional;GILAT TO HOME PERÚ S.A.;C;Tarjetas de Pago;319,885.00;;;;;;;;
54;20240617;200301;Larga Distancia Internacional - Saliente;GILAT TO HOME PERÚ S.A.;C;Tarjetas de Pago;651.00;;;;;;;;
55;20240617;200301;Larga Distancia Nacional;GILAT TO HOME PERÚ S.A.;D;Tráfico originado en líneas de telefonía móvil;3,845.00;;;;;;;;
56;20240617;200301;Larga Distancia Nacional;GILAT TO HOME PERÚ S.A.;E;Tráfico originado en teléfonos de uso público de la empresa;566,770.00;;;;;;;;
57;20240617;200301;Larga Distancia Internacional - Entrante;GILAT TO HOME PERÚ S.A.C.;H;No reportado;4.00;;;;;;;;
58;20240617;200301;Larga Distancia Nacional;IDT PERÚ S.R.L.;C;Tarjetas de Pago;2,563.00;;;;;;;;
59;20240617;200301;Larga Distancia Internacional - Saliente;IDT PERÚ S.R.L.;C;Tarjetas de Pago;2,523.00;;;;;;;;
60;20240617;200301;Larga Distancia Internacional - Entrante;IDT PERÚ S.R.L.;H;No reportado;26,594,910.00;;;;;;;;
61;20240617;200301;Larga Distancia Internacional - Saliente;IMPSAT PERÚ S.A.C. / GLOBAL CROSSING / LEVEL 3;A;Preselección;112,858.90;;;;;;;;
62;20240617;200301;Larga Distancia Internacional - Saliente;IMPSAT PERÚ S.A.C. / GLOBAL CROSSING / LEVEL 3;D;Tráfico originado en líneas de telefonía móvil;88,716.40;;;;;;;;
63;20240617;200301;Larga Distancia Nacional;IMPSAT PERÚ S.A.C. / GLOBAL CROSSING / LEVEL 3 / CENTURYLINK;A;Preselección;98,647.64;;;;;;;;
64;20240617;200301;Larga Distancia Nacional;INFODUCTOS Y TELECOMUNICACIONES DEL PERU S.A.;B;Llamada por Llamada;16,885.00;;;;;;;;
65;20240617;200301;Larga Distancia Internacional - Saliente;INFODUCTOS Y TELECOMUNICACIONES DEL PERU S.A.;B;Llamada por Llamada;135,077.00;;;;;;;;
66;20240617;200301;Larga Distancia Internacional - Entrante;L.A. & C. PERÚ S.A.;H;No reportado;301,882.00;;;;;;;;
67;20240617;200301;Larga Distancia Internacional - Saliente;LATPERÚ S.A.C.;C;Tarjetas de Pago;286.00;;;;;;;;
68;20240617;200301;Larga Distancia Internacional - Entrante;LATPERÚ S.A.C.;H;No reportado;115,338.00;;;;;;;;
69;20240617;200301;Larga Distancia Nacional;LIMATEL S.A.;A;Preselección;28,228.00;;;;;;;;
70;20240617;200301;Larga Distancia Internacional - Saliente;LIMATEL S.A.;A;Preselección;50,522.00;;;;;;;;
71;20240617;200301;Larga Distancia Nacional;LIMATEL S.A.;C;Tarjetas de Pago;37,489.00;;;;;;;;
72;20240617;200301;Larga Distancia Internacional - Saliente;LIMATEL S.A.;C;Tarjetas de Pago;143,398.00;;;;;;;;
73;20240617;200301;Larga Distancia Internacional - Entrante;LIMATEL S.A.;H;No reportado;3,899,530.00;;;;;;;;
74;20240617;200301;Larga Distancia Nacional;NORTEK;A;Preselección;4,566.00;;;;;;;;
75;20240617;200301;Larga Distancia Internacional - Saliente;NORTEK;A;Preselección;3,183.00;;;;;;;;
76;20240617;200301;Larga Distancia Nacional;NORTEK;C;Tarjetas de Pago;981,913.00;;;;;;;;
77;20240617;200301;Larga Distancia Internacional - Saliente;NORTEK;C;Tarjetas de Pago;94,240.00;;;;;;;;
78;20240617;200301;Larga Distancia Internacional - Entrante;NORTEK;H;No reportado;1,032,370.22;;;;;;;;
79;20240617;200301;Larga Distancia Nacional;ORMEÑO;B;Llamada por Llamada;746.69;;;;;;;;
80;20240617;200301;Larga Distancia Internacional - Saliente;ORMEÑO;B;Llamada por Llamada;1,193.58;;;;;;;;
81;20240617;200301;Larga Distancia Internacional - Entrante;ORMEÑO;H;No reportado;454,257.55;;;;;;;;
82;20240617;200301;Larga Distancia Nacional;PERUSAT S.A./ VELATEL / OLO;A;Preselección;245,515.36;;;;;;;;
83;20240617;200301;Larga Distancia Nacional;PERUSAT S.A./ VELATEL / OLO;B;Llamada por Llamada;2,666.89;;;;;;;;
84;20240617;200301;Larga Distancia Nacional;PERUSAT S.A./ VELATEL / OLO;C;Tarjetas de Pago;61,919.51;;;;;;;;
85;20240617;200301;Larga Distancia Internacional - Saliente;PERUSAT S.A./ VELATEL / OLO DEL PERÚ S.A.C.;A;Preselección;150,477.16;;;;;;;;
86;20240617;200301;Larga Distancia Internacional - Saliente;PERUSAT S.A./ VELATEL / OLO DEL PERÚ S.A.C.;B;Llamada por Llamada;5,414.59;;;;;;;;
87;20240617;200301;Larga Distancia Internacional - Saliente;PERUSAT S.A./ VELATEL / OLO DEL PERÚ S.A.C.;C;Tarjetas de Pago;64,446.68;;;;;;;;
88;20240617;200301;Larga Distancia Internacional - Entrante;PERUSAT S.A./ VELATEL / OLO DEL PERÚ S.A.C.;H;No reportado;1,009,978.00;;;;;;;;
89;20240617;200301;Larga Distancia Nacional;SYSTEM ONE WORLD COMMUNICATION PERÚ S.A.;A;Preselección;8,900.00;;;;;;;;
90;20240617;200301;Larga Distancia Internacional - Saliente;SYSTEM ONE WORLD COMMUNICATION PERÚ S.A.;A;Preselección;26,742.00;;;;;;;;
91;20240617;200301;Larga Distancia Nacional;SYSTEM ONE WORLD COMMUNICATION PERÚ S.A.;C;Tarjetas de Pago;6,835.00;;;;;;;;
92;20240617;200301;Larga Distancia Internacional - Saliente;SYSTEM ONE WORLD COMMUNICATION PERÚ S.A.;C;Tarjetas de Pago;13,670.00;;;;;;;;
93;20240617;200301;Larga Distancia Internacional - Entrante;SYSTEM ONE WORLD COMMUNICATION PERÚ S.A.;H;No reportado;4,942,525.00;;;;;;;;
94;20240617;200301;Larga Distancia Nacional;TELEFÓNICA DEL PERÚ S.A.A.;A;Preselección;30,138,059.00;;;;;;;;
95;20240617;200301;Larga Distancia Internacional - Saliente;TELEFÓNICA DEL PERÚ S.A.A.;A;Preselección;7,390,922.00;;;;;;;;
96;20240617;200301;Larga Distancia Nacional;TELEFÓNICA DEL PERÚ S.A.A.;C;Tarjetas de Pago;9,118,070.00;;;;;;;;
97;20240617;200301;Larga Distancia Internacional - Saliente;TELEFÓNICA DEL PERÚ S.A.A.;C;Tarjetas de Pago;900,498.00;;;;;;;;
98;20240617;200301;Larga Distancia Nacional;TELEFÓNICA DEL PERÚ S.A.A.;D;Tráfico originado en líneas de telefonía móvil;2,103,610.00;;;;;;;;
99;20240617;200301;Larga Distancia Internacional - Saliente;TELEFÓNICA DEL PERÚ S.A.A.;D;Tráfico originado en líneas de telefonía móvil;187,687.33;;;;;;;;
100;20240617;200301;Larga Distancia Nacional;TELEFÓNICA DEL PERÚ S.A.A.;E;Tráfico originado en teléfonos de uso público de la empresa;25,550,076.00;;;;;;;;
101;20240617;200301;Larga Distancia Internacional - Saliente;TELEFÓNICA DEL PERÚ S.A.A.;E;Tráfico originado en teléfonos de uso público de la empresa;230,072.00;;;;;;;;
102;20240617;200301;Larga Distancia Internacional - Entrante;TELEFÓNICA DEL PERÚ S.A.A.;H;No reportado;34,473,590.00;;;;;;;;
103;20240617;200301;Larga Distancia Nacional;TELMEX PERÚ S.A./ AT & T;A;Preselección;2,617,400.00;;;;;;;;
104;20240617;200301;Larga Distancia Internacional - Saliente;TELMEX PERÚ S.A./ AT & T;A;Preselección;832,000.00;;;;;;;;
105;20240617;200301;Larga Distancia Nacional;TELMEX PERÚ S.A./ AT & T;B;Llamada por Llamada;280,042.00;;;;;;;;
106;20240617;200301;Larga Distancia Internacional - Saliente;TELMEX PERÚ S.A./ AT & T;B;Llamada por Llamada;71,967.00;;;;;;;;
107;20240617;200301;Larga Distancia Nacional;TELMEX PERÚ S.A./ AT & T;C;Tarjetas de Pago;511,766.43;;;;;;;;
108;20240617;200301;Larga Distancia Internacional - Saliente;TELMEX PERÚ S.A./ AT & T;C;Tarjetas de Pago;15,850.47;;;;;;;;
109;20240617;200301;Larga Distancia Nacional;TELMEX PERÚ S.A./ AT & T;E;Tráfico originado en teléfonos de uso público de la empresa;11,195.00;;;;;;;;
110;20240617;200301;Larga Distancia Internacional - Saliente;TELMEX PERÚ S.A./ AT & T;E;Tráfico originado en teléfonos de uso público de la empresa;640.00;;;;;;;;
111;20240617;200301;Larga Distancia Internacional - Entrante;TELMEX PERÚ S.A./ AT & T;H;No reportado;9,749,413.10;;;;;;;;
112;20240617;200302;Larga Distancia Nacional;AMERICA MOVIL PERU S.A.C.;D;Tráfico originado en líneas de telefonía móvil;831,112.00;;;;;;;;
113;20240617;200302;Larga Distancia Internacional - Saliente;AMERICA MOVIL PERU S.A.C.;D;Tráfico originado en líneas de telefonía móvil;219,991.00;;;;;;;;
114;20240617;200302;Larga Distancia Internacional - Entrante;AMERICA MOVIL PERU S.A.C.;H;No reportado;1,571,373.00;;;;;;;;
115;20240617;200302;Larga Distancia Nacional;AMERICATEL PERÚ S.A.;A;Preselección;422,288.00;;;;;;;;
116;20240617;200302;Larga Distancia Internacional - Saliente;AMERICATEL PERÚ S.A.;A;Preselección;205,626.00;;;;;;;;
117;20240617;200302;Larga Distancia Nacional;AMERICATEL PERÚ S.A.;B;Llamada por Llamada;7,165,871.00;;;;;;;;
118;20240617;200302;Larga Distancia Internacional - Saliente;AMERICATEL PERÚ S.A.;B;Llamada por Llamada;2,309,022.00;;;;;;;;
