Año,Mes,Canal,N° de expediente,Num certificado exportacion,Sede,Razon envio,TExpoAnimal.EMBARQUE_FECHA,TExpoAnimal.DESEMBARQUE_FECHA,Producto ,Categoria de riesgo,Unidad de medida,Peso,Cantidad envase,Tipo envase,TExpoAnimal.ID_SERVICIO,Fecha inspeccion,Inspeccion hora,Medio transporte,Pc Salida,Orden vuce,Pais destino,Punto llegada,Estado,Tipo de proceso,Tasa
2024,9,BPM,240180018301,240160000032,ICA,EN ORIGEN,11/09/2024,11/09/2024,PERROS,0,NULL,0,1,KENNEL,NULL,03/09/2024,01:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,CHILE,NULL,ACTIVO,E,6.12
2024,10,BPM,240180020538,240160000034,ICA,OTRO LUGAR DE INSPECCION,11/10/2024,18/10/2024,PERROS,0,NULL,0,1,KENNEL,NULL,09/10/2024,13:01:00,TERRESTRE,"AGUAS VERDES, TUMBES",NULL,COLOMBIA,NULL,ACTIVO,E,6.12
2024,10,BPM,240180021487,240160000040,ICA,EN ORIGEN,05/11/2024,06/11/2024,PERROS,0,NULL,0,1,KENNEL,NULL,30/10/2024,13:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,ITALIA,NULL,ACTIVO,E,6.12
2024,10,BPM,240180020539,240160000035,ICA,EN ORIGEN,15/10/2024,15/10/2024,PERROS,0,NULL,0,1,KENNEL,NULL,10/10/2024,13:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,ARGENTINA,NULL,ACTIVO,E,6.12
2024,10,BPM,240180020540,240160000036,ICA,EN ORIGEN,15/10/2024,15/10/2024,PERROS,0,NULL,0,1,KENNEL,NULL,10/10/2024,13:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,ARGENTINA,NULL,ACTIVO,E,6.12
2024,10,BPM,240180020545,240160000037,ICA,EN ORIGEN,15/10/2024,15/10/2024,FELINO SILVESTRE,5,NULL,0,1,KENNEL,NULL,10/10/2024,13:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,ARGENTINA,NULL,ACTIVO,E,6.12
2024,10,BPM,240180021643,240160000041,ICA,EN ORIGEN,01/11/2024,01/11/2024,FELINO SILVESTRE,5,NULL,0,1,KENNEL,NULL,29/10/2024,13:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,ARGENTINA,NULL,ACTIVO,E,6.12
2024,10,BPM,240180021644,240160000042,ICA,EN ORIGEN,01/11/2024,01/11/2024,PERROS,0,NULL,0,1,KENNEL,NULL,29/10/2024,13:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,ARGENTINA,NULL,ACTIVO,E,6.12
2024,10,BPM,240180021432,240160000039,ICA,EN ORIGEN,30/10/2024,30/10/2024,PERROS,0,NULL,0,1,KENNEL,NULL,25/10/2024,01:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,VENEZUELA,NULL,ACTIVO,E,6.12
2024,11,BPM,240180023549,240160000043,ICA,EN ORIGEN,27/11/2024,27/11/2024,PERROS,0,NULL,0,1,KENNEL,NULL,22/11/2024,01:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,COLOMBIA,NULL,ACTIVO,E,6.12
2024,11,BPM,240180024609,240160000044,ICA,EN ORIGEN,03/12/2024,04/12/2024,PERROS,0,NULL,0,1,KENNEL,NULL,28/11/2024,13:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,COLOMBIA,NULL,ACTIVO,E,6.12
2024,12,BPM,240180026920,240160000047,ICA,EN ORIGEN,19/12/2024,20/12/2024,PERROS,0,NULL,0,1,KENNEL,NULL,11/12/2024,01:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,BRASIL,NULL,ACTIVO,E,6.12
2024,12,BPM,240180026918,240160000046,ICA,EN ORIGEN,19/12/2024,20/12/2024,PERROS,0,NULL,0,1,KENNEL,NULL,11/12/2024,01:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,BRASIL,NULL,ACTIVO,E,6.12
2024,12,BPM,240180026961,240160000048,ICA,EN ORIGEN,17/12/2024,17/12/2024,PERROS,0,NULL,0,1,KENNEL,NULL,11/12/2024,01:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,COLOMBIA,NULL,ACTIVO,E,6.12
2024,12,BPM,240180027146,240160000049,ICA,EN ORIGEN,19/12/2024,19/12/2024,PERROS,0,NULL,0,1,KENNEL,NULL,12/12/2024,01:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,COLOMBIA,NULL,ACTIVO,E,6.12
2024,12,BPM,240180025481,240160000045,ICA,EN ORIGEN,09/12/2024,09/12/2024,PERROS,0,NULL,0,1,KENNEL,NULL,04/12/2024,01:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,REPUBLICA DOMINICANA,NULL,ACTIVO,E,6.12
